postalCode;city
1293;Bellevue
1294;Genthod
1295;Mies
1295;Tannay
1296;Coppet
1297;Founex
1298;Céligny
1299;Crans-près-Céligny
1302;Vufflens-la-Ville
1303;Penthaz
1304;Senarclens
1304;Dizy
1304;Allens
1304;Cossonay-Ville
1305;Penthalaz
1306;Daillens
1307;Lussery-Villars
1308;La Chaux (Cossonay)
1312;Eclépens
1313;Ferreyres
1315;La Sarraz
1316;Chevilly
1317;Orny
1318;Pompaples
1321;Arnex-sur-Orbe
1322;Croy
1323;Romainmôtier
1324;Premier
1325;Vaulion
1326;Juriens
1329;Bretonnières
1337;Vallorbe
1338;Ballaigues
1341;Orient
1342;Le Pont
1343;Les Charbonnières
1344;L'Abbaye
1345;Le Lieu
1346;Les Bioux
1347;Le Solliat
1347;Le Sentier
1348;Le Brassus
1350;Orbe
1352;Agiez
1353;Bofflens
1354;Montcherand
1355;Sergey
1355;L'Abergement
1356;Les Clées
1356;La Russille
1357;Lignerolle
1358;Valeyres-sous-Rances
1372;Bavois
1373;Chavornay
1374;Corcelles-sur-Chavornay
1375;Penthéréaz
1376;Eclagnens
1376;Goumoens-le-Jux
1376;Goumoens-la-Ville
1377;Oulens-sous-Echallens
1400;Yverdon-les-Bains
1400;Cheseaux-Noréaz
1404;Cuarny
1404;Villars-Epeney
1405;Pomy
1406;Cronay
1407;Bioley-Magnoux
1407;Gossens
1407;Mézery-près-Donneloye
1407;Donneloye
1408;Prahins
1409;Chanéaz
1410;Prévondavaux
1410;St-Cierges
1410;Denezy
1410;Correvon
1410;Thierrens
1412;Valeyres-sous-Ursins
1412;Ursins
1413;Orzens
1415;Molondin
1415;Démoret
1416;Pailly
1417;Epautheyres
1417;Essertines-sur-Yverdon
1418;Vuarrens
1420;Fiez
1421;Fontaines-sur-Grandson
1421;Grandevent
1422;Grandson
1423;Fontanezier
1423;Romairon
1423;Vaugondry
1423;Villars-Burquin
1424;Champagne
1425;Onnens VD
1426;Corcelles-près-Concise
1426;Concise
1427;Bonvillars
1428;Mutrux
1428;Provence
1429;Giez
1430;Orges
1431;Vugelles-La Mothe
1431;Novalles
1432;Belmont-sur-Yverdon
1432;Gressy
1433;Suchy
1434;Ependes VD
1435;Essert-Pittet
1436;Treycovagnes
1436;Chamblon
1437;Suscévaz
1438;Mathod
1439;Rances
1441;Valeyres-sous-Montagny
1442;Montagny-près-Yverdon
1443;Champvent
1443;Essert-sous-Champvent
1443;Villars-sous-Champvent
1445;Vuiteboeuf
1446;Baulmes
1450;La Sagne (Ste-Croix)
1450;Le Château-de-Ste-Croix
1450;Ste-Croix
1452;Les Rasses
1453;Mauborget
1453;Bullet
1454;La Vraconnaz
1454;L'Auberson
1462;Yvonand
1463;Rovray
1464;Chêne-Pâquier
1464;Chavannes-le-Chêne
1468;Cheyres
1470;Bollion
1470;Lully FR
1470;Seiry
1470;Estavayer-le-Lac
1473;Font
1473;Châtillon FR
1474;Châbles FR
1475;Autavaux
1475;Forel FR
1475;Montbrelloz
1482;Cugy FR
1483;Frasses
1483;Vesin
1483;Montet (Broye)
1484;Aumont
1484;Granges-de-Vesin
1485;Nuvilly
1486;Vuissens
1489;Murist
1509;Vucherens
1510;Syens
1510;Moudon
1512;Chavannes-sur-Moudon
1513;Hermenches
1513;Rossenges
1514;Bussy-sur-Moudon
1515;Neyruz-sur-Moudon
1515;Villars-le-Comte
1521;Curtilles
1522;Oulens-sur-Lucens
1522;Lucens
1523;Granges-près-Marnand
1524;Marnand
1525;Seigneux
1525;Henniez
1526;Forel-sur-Lucens
1526;Cremin
1527;Villeneuve FR
1528;Praratoud
1528;Surpierre
1529;Cheiry
1530;Payerne
1532;Fétigny
1533;Ménières
1534;Chapelle (Broye)
1534;Sassel
1535;Combremont-le-Grand
1536;Combremont-le-Petit
1537;Champtauroz
1538;Treytorrens (Payerne)
1541;Morens FR
1541;Sévaz
1541;Bussy FR
1542;Rueyres-les-Prés
1543;Grandcour
1544;Gletterens
1545;Chevroux
1551;Vers-chez-Perrin
1552;Trey
1553;Châtonnaye
1554;Sédeilles
1554;Rossens VD
1555;Villarzel
1562;Corcelles-près-Payerne
1563;Dompierre FR
1564;Domdidier
1565;Vallon
1565;Missy
1566;Les Friques
1566;St-Aubin FR
1567;Delley
1568;Portalban
1580;Oleyres
1580;Avenches
1582;Donatyre
1583;Villarepos
1584;Villars-le-Grand
1585;Bellerive VD
1585;Cotterd
1585;Salavaux
1586;Vallamand
1587;Montmagny
1587;Constantine
1588;Cudrefin
1589;Chabrey
1595;Clavaleyres
1595;Faoug
1607;Les Tavernes
1607;Les Thioleyres
1607;Palézieux-Village
1607;Palézieux
1608;Chapelle (Glâne)
1608;Bussigny-sur-Oron
1608;Chesalles-sur-Oron
1608;Oron-le-Châtel
1609;Besencens
1609;Fiaugères
1609;Le Jordil
1609;St-Martin FR
1610;Châtillens
1610;Vuibroye
1610;Oron-la-Ville
1611;Le Crêt-près-Semsales
1612;Ecoteaux
1613;Maracon
1614;Granges (Veveyse)
1615;Bossonnens
1616;Attalens
1617;Tatroz
1617;Remaufens
1618;Châtel-St-Denis
1619;Les Paccots
1623;Semsales
1624;La Verrerie
1624;Grattavache
1624;Progens
1625;Maules
1625;Sâles (Gruyère)
1626;Romanens
1626;Treyfayes
1626;Rueyres-Treyfayes
1627;Vaulruz
1628;Vuadens
1630;Bulle
1632;Riaz
1633;Vuippens
1633;Marsens
1634;La Roche FR
1635;La Tour-de-Trême
1636;Broc
1637;Charmey (Gruyère)
1638;Morlon
1642;Sorens
1643;Gumefens
1644;Avry-devant-Pont
1645;Le Bry
1646;Echarlens
1647;Corbières
1648;Hauteville
1649;Pont-la-Ville
1651;Villarvolard
1652;Botterens
1652;Villarbeney
1653;Châtel-sur-Montsalvens
1653;Crésuz
1654;Cerniat FR
1656;Im Fang
1656;Jaun
1657;Abländschen
1658;La Tine
1658;Rossinière
1659;Flendruz
1659;Rougemont
1660;Les Moulins
1660;L'Etivaz
1660;Château-d'Oex
1660;La Lécherette
1661;Le Pâquier-Montbarry
1663;Moléson-sur-Gruyères
1663;Pringy
1663;Gruyères
1663;Epagny
1665;Estavannens
1666;Villars-sous-Mont
1666;Grandvillard
1667;Enney
1669;Neirivue
1669;Les Sciernes-d'Albeuve
1669;Montbovon
1669;Lessoc
1669;Albeuve
1670;Bionnens
1670;Esmonts
1670;Ursy
1673;Auboranges
1673;Ecublens FR
1673;Rue
1673;Gillarens
1673;Promasens
1674;Vuarmarens
1674;Montet (Glâne)
1674;Morlens
1675;Vauderens
1675;Blessens
1675;Mossel
1676;Chavannes-les-Forts
1677;Prez-vers-Siviriez
1678;Siviriez
1679;Villaraboud
1680;Berlens
1680;Romont FR
1681;Billens
1681;Hennens
1682;Villars-Bramard
1682;Dompierre VD
1682;Lovatens
1682;Cerniaz VD
1682;Prévonloup
1683;Brenles
1683;Chesalles-sur-Moudon
1683;Sarzens
1684;Mézières FR
1685;Villariaz
1686;Grangettes-près-Romont
1686;La Neirigue
1687;Estévenens
1687;La Magne
1687;Vuisternens-devant-Romont
1688;Sommentier
1688;Lieffrens
1689;Le Châtelard-près-Romont
1690;Lussy FR
1690;Villaz-St-Pierre
1691;Villarimboud
1692;Massonnens
1694;Orsonnens
1694;Chavannes-sous-Orsonnens
1694;Villargiroud
1694;Villarsiviriaux
1695;Villarlod
1695;Estavayer-le-Gibloux
1695;Rueyres-St-Laurent
1695;Villarsel-le-Gibloux
1696;Vuisternens-en-Ogoz
1697;La Joux FR
1697;Les Ecasseys
1699;Bouloz
1699;Pont (Veveyse)
1699;Porsel
1700;Fribourg
1708;Fribourg
1712;Tafers
1713;St. Antoni
1714;Heitenried
1715;Alterswil FR
1716;Oberschrot
1716;Schwarzsee
1716;Plaffeien
1717;St. Ursen
1718;Rechthalten
1719;Zumholz
1719;Brünisried
1720;Chésopelloz
1720;Corminboeuf
1721;Cormérod
1721;Courtion
1721;Misery
1722;Bourguillon
1723;Marly
1723;Pierrafortscha
1723;Villarsel-sur-Marly
1724;Bonnefontaine
1724;Essert FR
1724;Ferpicloz
1724;Montévraz
1724;Oberried FR
1724;Senèdes
1724;Zénauva
1724;Le Mouret
1725;Posieux
1726;Farvagny-le-Petit
1726;Grenilles
1726;Posat
1726;Farvagny
1727;Magnedens
1727;Corpataux-Magnedens
1728;Rossens FR
1730;Ecuvillens
1731;Ependes FR
1732;Arconciel
1733;Treyvaux
1734;Tentlingen
1735;Giffers
1736;St. Silvester
1737;Plasselb
1738;Sangernboden
1740;Neyruz FR
1741;Cottens FR
1742;Autigny
1744;Chénens
1745;Lentigny
1746;Prez-vers-Noréaz
1747;Corserey
1748;Torny-le-Grand
1749;Middes
1752;Villars-sur-Glâne
1753;Matran
1754;Rosé
1754;Corjolens
1754;Avry-sur-Matran
1754;Avry-Centre FR
1756;Onnens FR
1756;Lovens
1757;Noréaz
1762;Givisiez
1763;Granges-Paccot
1772;Ponthaux
1772;Nierlet-les-Bois
1772;Grolley
1773;Léchelles
1773;Chandon
1773;Russy
1774;Montagny-les-Monts
1774;Cousset
1775;Mannens
1775;Grandsivaz
1776;Montagny-la-Ville
1782;Autafond
1782;La Corbaz
1782;Cormagens
1782;Lossy
1782;Formangueires
1782;Belfaux
1783;Pensier
1783;Barberêche
1784;Cournillens
1784;Wallenried
1784;Courtepin
1785;Cressier FR
1786;Sugiez
1787;Môtier (Vully)
1787;Mur (Vully) FR
1787;Mur (Vully) VD
1788;Praz (Vully)
1789;Lugnorre
1791;Courtaman
1792;Guschelmuth
1792;Cordast
1793;Jeuss
1794;Salvenach
1795;Courlevon
1796;Courgevaux
1797;Münchenwiler
1800;Vevey
1801;Le Mont-Pèlerin
1802;Corseaux
1803;Chardonne
1804;Corsier-sur-Vevey
1805;Jongny
1806;St-Légier-La Chiésaz
1807;Blonay
1808;Les Monts-de-Corsier
1809;Fenil-sur-Corsier
1814;La Tour-de-Peilz
1815;Clarens
1816;Chailly-Montreux
1817;Brent
1820;Montreux
1820;Veytaux
1820;Territet
1822;Chernex
1823;Glion
1824;Caux
1832;Villard-sur-Chamby
1832;Chamby
1833;Les Avants
1844;Villeneuve VD
1845;Noville
1846;Chessel
1847;Rennaz
1852;Roche VD
1853;Yvorne
1854;Leysin
1856;Corbeyrier
1860;Aigle
1862;La Comballaz
1862;Les Mosses
1863;Le Sépey
1864;Vers-l'Eglise
1865;Les Diablerets
1866;La Forclaz VD
1867;St-Triphon
1867;Panex
1867;Ollon VD
1868;Collombey
1869;Massongex
1870;Monthey
1871;Choëx
1871;Les Giettes
1872;Troistorrents
1873;Champoussin
1873;Les Crosets
1873;Val-d'Illiez
1874;Champéry
1875;Morgins
1880;Fenalet-sur-Bex
1880;Frenières-sur-Bex
1880;Les Plans-sur-Bex
1880;Bex
1882;Les Posses-sur-Bex
1882;Gryon
1884;Huémoz
1884;Arveyes
1884;Villars-sur-Ollon
1885;Chesières
1890;Mex VS
1890;St-Maurice
1891;Vérossaz
1892;Lavey-les-Bains
1892;Morcles
1892;Lavey-Village
1893;Muraz (Collombey)
1895;Vionnaz
1896;Miex
1896;Vouvry
1897;Les Evouettes
1897;Bouveret
1898;St-Gingolph
1899;Torgon
1902;Evionnaz
1903;Collonges
1904;Vernayaz
1905;Dorénaz
1906;Charrat
1907;Saxon
1908;Riddes
1911;Mayens-de-Chamoson
1911;Ovronnaz
1912;Produit (Leytron)
1912;Montagnon (Leytron)
1912;Dugny (Leytron)
1912;Leytron
1913;Saillon
1914;Auddes-sur-Riddes
1914;Isérables
1918;La Tzoumaz
1920;Martigny
1921;Martigny-Croix
1922;Les Granges (Salvan)
1922;Salvan
1923;Le Trétien
1923;Les Marécottes
1925;Le Châtelard VS
1925;Finhaut
1926;Fully
1927;Chemin
1928;Ravoire
1929;Trient
1932;Les Valettes (Bovernier)
1932;Bovernier
1933;Vens (Sembrancher)
1933;Chamoille (Sembrancher)
1933;La Garde (Sembrancher)
1933;Sembrancher
1934;Bruson
1934;Cotterg (Le Châble VS)
1934;Villette (Le Châble VS)
1934;Fontenelle (Le Châble VS)
1934;Montagnier (Le Châble VS)
1934;Le Châble VS
1936;Verbier
1937;Orsières
1938;Champex-Lac
1941;Cries (Vollèges)
1941;Vollèges
1942;Levron
1943;Praz-de-Fort
1944;La Fouly VS
1945;Liddes
1945;Fontaine Dessus (Liddes)
1945;Fontaine Dessous (Liddes)
1945;Dranse (Liddes)
1945;Chandonne (Liddes)
1945;Rive Haute (Liddes)
1945;Fornex (Liddes)
1945;Les Moulins VS (Liddes)
1945;Vichères (Liddes)
1945;Palasuit (Liddes)
1945;Chez Petit (Liddes)
1945;Petit Vichères (Liddes)
1946;Bourg-St-Pierre
1947;Prarreyer (Versegères)
1947;Les Places (Versegères)
1947;La Montoz (Versegères)
1947;Champsec (Versegères)
1947;Le Fregnoley (Versegères)
1947;Versegères
1948;Lourtier
1948;Fionnay
1948;Sarreyer
1948;Le Planchamp (Lourtier)
1948;Le Morgnes (Lourtier)
1950;Sion
1955;St-Pierre-de-Clages
1955;Les Vérines (Chamoson)
1955;Némiaz (Chamoson)
1955;Grugnay (Chamoson)
1955;Chamoson
1957;Ardon
1958;Uvrier
1958;St-Léonard
1961;Vernamiège
1962;Pont-de-la-Morge (Sion)
1963;Vétroz
1964;Conthey
1965;Chandolin-près-Savièse
1965;Drône VS
1965;Roumaz (Savièse)
1965;Granois (Savièse)
1965;St-Germain (Savièse)
1965;Ormône (Savièse)
1965;Mayens-de-la-Zour (Savièse)
1965;Monteiller-Savièse
1965;Savièse
1966;Signèse (Ayent)
1966;Fortunau (Ayent)
1966;Luc (Ayent)
1966;St-Romain (Ayent)
1966;Saxonne (Ayent)
1966;Villa (Ayent)
1966;La Place (Ayent)
1966;Botyre (Ayent)
1966;Blignoud (Ayent)
1966;Argnoud (Ayent)
1967;Bramois
1968;Mase
1969;Liez (St-Martin)
1969;Trogne (St-Martin)
1969;Suen (St-Martin)
1969;Eison (St.Martin)
1969;St-Martin VS
1971;Champlan (Grimisuat)
1971;Coméraz (Grimisuat)
1971;Grimisuat
1972;Anzère
1973;Nax
1974;Arbaz
1975;St-Séverin
1976;Aven
1976;Daillon
1976;Erde
1977;Icogne
1978;Lens
1981;Vex
1982;Euseigne
1983;Lana (Evolène)
1983;Evolène
1984;Les Haudères
1985;La Sage
1986;Arolla
1987;Mâche
1987;Hérémence
1988;Les Collons
1988;Thyon
1991;Arvillard (Salins)
1991;Pravidondaz (Salins)
1991;Turin (Salins)
1991;Misériez (Salins)
1991;Salins
1992;Les Agettes
1992;Les Mayens-de-Sion
1992;La Vernaz (Les Agettes)
1992;Crête-à-l'Oeil(Les Agettes)
1993;Clèbes (Nendaz)
1993;Veysonnaz
1994;Aproz (Nendaz)
1996;Fey (Nendaz)
1996;Beuson (Nendaz)
1996;Baar (Nendaz)
1996;Brignon (Nendaz)
1996;Bioley-de-Brignon (Nendaz)
1996;Bieudron (Nendaz)
1996;Condémines (Nendaz)
1996;Saclentz (Nendaz)
1996;Basse-Nendaz
1997;Siviez (Nendaz)
1997;Haute-Nendaz
2000;Neuchâtel
2012;Auvernier
2013;Colombier NE
2014;Bôle
2015;Areuse
2016;Cortaillod
2017;Boudry
2019;Chambrelien
2019;Rochefort
2022;Bevaix
2023;Gorgier
2024;St-Aubin-Sauges
2025;Chez-le-Bart
2027;Montalchez
2027;Fresens
2028;Vaumarcus
2034;Peseux
2035;Corcelles NE
2036;Cormondrèche
2037;Montmollin
2037;Montezillon
2042;Valangin
2043;Boudevilliers
2046;Fontaines NE
2052;La Vue-des-Alpes
2052;Fontainemelon
2053;Cernier
2054;Les Vieux-Prés
2054;Chézard-St-Martin
2056;Dombresson
2057;Villiers
2058;Le Pâquier NE
2063;Engollon
2063;Fenin
2063;Saules
2063;Vilars NE
2065;Savagnier
2067;Chaumont
2068;Hauterive NE
2072;St-Blaise
2073;Enges
2074;Marin-Epagnier
2075;Thielle
2075;Wavre
2087;Cornaux NE
2088;Cressier NE
2103;Noiraigue
2105;Travers
2108;Couvet
2112;Môtiers NE
2113;Boveresse
2114;Fleurier
2115;Buttes
2116;Mont-de-Buttes
2117;La Côte-aux-Fées
2123;St-Sulpice NE
2124;Les Sagnettes
2126;Les Verrières
2127;Les Bayards
2149;Champ-du-Moulin
2149;Fretereules
2149;Brot-Dessous
2206;Les Geneveys-sur-Coffrane
2207;Coffrane
2208;Les Hauts-Geneveys
2300;La Chaux-de-Fonds
2300;La Cibourg
2314;La Sagne NE
2316;Petit-Martel
2316;Les Ponts-de-Martel
2318;Brot-Plamboz
2322;Le Crêt-du-Locle
2325;Les Planchettes
2325;Les Joux-Derrière
2333;La Cibourg
2333;La Ferrière
2336;Les Bois
2338;Les Emibois
2338;Muriaux
2340;Le Noirmont
2345;Le Cerneux-Veusil
2345;La Chaux-des-Breuleux
2345;Les Breuleux
2350;Saignelégier
2353;Les Pommerats
2354;Goumois
2360;Le Bémont
2362;Montfavergier
2362;Montfaucon
2363;Les Enfers
2364;St-Brais
2400;Le Prévoux
2400;Le Locle
2405;La Chaux-du-Milieu
2406;Le Brouillet
2406;Les Taillères
2406;La Châtagne
2406;La Brévine
2414;Le Cerneux-Péquignot
2416;Les Brenets
2500;Biel/Bienne
2502;Biel/Bienne
2503;Biel/Bienne
2504;Biel/Bienne
2505;Biel/Bienne
2512;Tüscherz-Alfermée
2513;Twann
2514;Ligerz
2515;Prêles
2516;Lamboing
2517;Diesse
2518;Nods
2520;La Neuveville
2523;Lignières
2525;Le Landeron
2532;Magglingen/Macolin
2533;Evilard
2534;Les Prés-d'Orvin
2534;Orvin
2535;Frinvillier
2536;Plagne
2537;Vauffelin
2538;Romont BE
2540;Grenchen
2542;Pieterlen
2543;Lengnau BE
2544;Bettlach
2545;Selzach
2552;Orpund
2553;Safnern
2554;Meinisberg
2555;Brügg BE
2556;Scheuren
2556;Schwadernau
2557;Studen BE
2558;Aegerten
2560;Nidau
2562;Port
2563;Ipsach
2564;Bellmund
2565;Jens
2572;Mörigen
2572;Sutz
2575;Hagneck
2575;Gerolfingen
2575;Täuffelen
2576;Lüscherz
2577;Finsterhennen
2577;Siselen BE
2603;Péry
2604;La Heutte
2605;Sonceboz-Sombeval
2606;Corgémont
2607;Cortébert
2608;Montagne-de-Courtelary
2608;Courtelary
2610;Mont-Soleil
2610;Mont-Crosin
2610;Les Pontins
2610;St-Imier
2612;Cormoret
2613;Villeret
2615;Montagne-de-Sonvilier
2615;Sonvilier
2616;La Cibourg
2616;Renan BE
2710;Tavannes
2712;Le Fuet
2713;Bellelay
2714;Le Prédame
2714;Les Genevez JU
2715;Monible
2715;Châtelat
2716;Sornetan
2717;Fornet-Dessous
2717;Rebévelier
2718;Fornet-Dessus
2718;Lajoux JU
2720;La Tanne
2720;Tramelan
2722;Les Reussilles
2723;Mont-Tramelan
2732;Saicourt
2732;Saules BE
2732;Loveresse
2732;Reconvilier
2733;Pontenet
2735;Bévilard
2735;Champoz
2735;Malleray
2736;Sorvilier
2738;Court
2740;Moutier
2742;Perrefitte
2743;Eschert
2744;Belprahon
2745;Grandval
2746;Crémines
2747;Seehof
2747;Corcelles BE
2748;Souboz
2748;Les Ecorcheresses
2762;Roches BE
2800;Delémont
2802;Develier
2803;Bourrignon
2805;Soyhières
2806;Mettembert
2807;Lucelle
2807;Pleigne
2812;Movelier
2813;Ederswiler
2814;Roggenburg
2822;Courroux
2823;Courcelon
2824;Vicques
2825;Courchapoix
2826;Corban
2827;Schelten
2827;Mervelier
2828;Montsevelier
2829;Vermes
2830;Vellerat
2830;Courrendlin
2832;Rebeuvelier
2842;Rossemaison
2843;Châtillon JU
2852;Courtételle
2853;Courfaivre
2854;Bassecourt
2855;Glovelier
2856;Boécourt
2857;Montavon
2863;Undervelier
2864;Soulce
2873;Saulcy
2874;Montfavergier
2874;St-Brais
2875;Les Enfers
2875;Montfaucon
2877;Le Bémont JU
2882;St-Ursanne
2883;Montmelon
2884;Montenol
2885;Epauvillers
2886;Epiquerez
2887;Soubey
2888;Seleute
2889;Ocourt
2900;Porrentruy
2902;Fontenais
2903;Villars-sur Fontenais
2904;Bressaucourt
2905;Courtedoux
2906;Chevenez
2907;Rocourt
2908;Grandfontaine
2912;Roche-d'Or
2912;Réclère
2914;Damvant
2915;Bure
2916;Fahy
2922;Courchavon
2923;Courtemaîche
2924;Montignez
2925;Buix
2926;Boncourt
2932;Coeuve
2933;Damphreux
2933;Lugnez
2935;Beurnevésin
2942;Alle
2943;Vendlincourt
2944;Bonfol
2946;Miécourt
2947;Charmoille
2950;Courtemautruy
2950;Courgenay
2952;Cornol
2953;Fregiécourt
2953;Pleujouse
2954;Asuel
3000;Bern
3004;Bern
3005;Bern
3006;Bern
3007;Bern
3008;Bern
3010;Bern
3011;Bern
3012;Bern
3013;Bern
3014;Bern
3015;Bern
3018;Bern
3019;Bern
3020;Bern
3027;Bern
3032;Hinterkappelen
3033;Wohlen b. Bern
3034;Murzelen
3035;Frieswil
3036;Detligen
3037;Herrenschwanden
3038;Kirchlindach
3042;Ortschwaben
3043;Uettligen
3044;Innerberg
3045;Meikirch
3046;Wahlendorf
3047;Bremgarten b. Bern
3048;Worblaufen
3049;Säriswil
3052;Zollikofen
3053;Deisswil b. Münchenbuchsee
3053;Diemerswil
3053;Wiggiswil
3053;Lätti
3053;Münchenbuchsee
3054;Schüpfen
3063;Ittigen
3065;Bolligen
3066;Stettlen
3067;Boll
3068;Utzigen
3072;Ostermundigen
3073;Gümligen
3074;Muri b. Bern
3075;Rüfenacht BE
3076;Worb
3077;Enggistein
3078;Richigen
3082;Schlosswil
3083;Trimstein
3084;Wabern
3086;Englisberg
3086;Zimmerwald
3087;Niedermuhlern
3088;Oberbütschel
3088;Rüeggisberg
3089;Hinterfultigen
3095;Spiegel b. Bern
3096;Oberbalm
3097;Liebefeld
3098;Köniz
3098;Schliern b. Köniz
3099;Rüti b. Riggisberg
3110;Münsingen
3111;Tägertschi
3112;Allmendingen b. Bern
3113;Rubigen
3114;Wichtrach
3115;Gerzensee
3116;Mühledorf BE
3116;Noflen BE
3116;Kirchdorf BE
3122;Kehrsatz
3123;Belp
3124;Belpberg
3125;Toffen
3126;Gelterfingen
3126;Kaufdorf
3127;Lohnstorf
3127;Mühlethurnen
3128;Kirchenthurnen
3128;Rümligen
3132;Riggisberg
3144;Gasel
3145;Niederscherli
3147;Mittelhäusern
3148;Lanzenhäusern
3150;Schwarzenburg
3152;Mamishaus
3153;Rüschegg Gambach
3154;Rüschegg Heubach
3155;Helgisried-Rohrbach
3156;Riffenmatt
3157;Milken
3158;Guggisberg
3159;Riedstätt
3172;Niederwangen b. Bern
3173;Oberwangen b. Bern
3174;Thörishaus
3175;Flamatt
3176;Neuenegg
3177;Laupen BE
3178;Bösingen
3179;Kriechenwil
